GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RBAC Console System,rbac,AbstractRoleAssignment,109,35,13,3,14,12,12,4,4,4
RBAC Console System,rbac,FormatUtils,105,254,13,25,15,38,13,16,3,7
RBAC Console System,rbac,UserFilters,39,10,0,0,5,1,9,2,9,2
RBAC Console System,rbac,RoleFilters,49,0,2,0,6,0,12,0,11,0
RBAC Console System,rbac,CommandParser,6,117,0,8,2,27,0,9,0,5
RBAC Console System,rbac,AssignmentFilter,32,0,8,0,2,0,8,0,4,0
RBAC Console System,rbac,User,45,64,8,8,6,13,9,3,1,3
RBAC Console System,rbac,AuditEntry,36,36,3,1,2,6,3,3,1,3
RBAC Console System,rbac,AssignmentManager,166,191,15,13,28,43,27,15,15,13
RBAC Console System,rbac,AssignmentMetadata,43,27,4,0,8,4,4,3,2,3
RBAC Console System,rbac,BackgroundExecutor,22,42,3,3,8,14,3,5,1,4
RBAC Console System,rbac,UserSorters,9,3,0,0,3,1,3,1,3,1
RBAC Console System,rbac,Main,206,0,2,0,56,0,5,0,4,0
RBAC Console System,rbac,Permission,78,45,23,7,10,9,17,1,2,1
RBAC Console System,rbac,Role,123,108,16,10,18,24,16,12,4,11
RBAC Console System,rbac,AuditLog,93,114,9,3,31,26,9,11,4,10
RBAC Console System,rbac,PermanentAssignment,3,22,0,2,1,7,1,5,1,4
RBAC Console System,rbac,RoleManager,93,134,9,5,16,29,12,12,5,12
RBAC Console System,rbac,RoleFilter,32,0,8,0,2,0,8,0,4,0
RBAC Console System,rbac,ConsoleUtils,229,11,40,0,50,3,31,2,11,2
RBAC Console System,rbac,TemporaryAssignment,86,59,14,4,19,18,15,7,6,7
RBAC Console System,rbac,AssignmentSorters,24,0,0,0,4,0,7,0,7,0
RBAC Console System,rbac,RBACSystem,22,439,1,1,8,95,5,15,4,15
RBAC Console System,rbac,ReportGenerator,300,112,28,2,55,24,21,5,6,5
RBAC Console System,rbac,RoleSorters,3,10,0,0,1,2,1,3,1,3
RBAC Console System,rbac,TaskScheduler,24,118,2,6,8,30,2,9,0,7
RBAC Console System,rbac,AssignmentFilters,106,0,4,0,19,0,23,0,21,0
RBAC Console System,rbac,ValidationUtils,17,76,11,13,5,12,12,9,2,7
RBAC Console System,rbac,UserFilter,32,0,8,0,2,0,8,0,4,0
RBAC Console System,rbac,CommandRegistry,786,392,61,13,220,81,55,19,22,15
RBAC Console System,rbac,DateUtils,65,80,13,7,16,21,15,8,5,8
RBAC Console System,rbac,UserManager,27,138,5,5,5,27,7,14,2,14
